timestamp,crash_mult,trigger,mode,p1_result,p2_result,round_pnl,session_pnl,cumulative_pnl
2026-05-09 02:30:16,8.53,0,watch,-,-,0.00,0.00,0.00
2026-05-09 02:30:40,3.04,0,watch,-,-,0.00,0.00,0.00
2026-05-09 02:30:50,1.00,0,watch,-,-,0.00,0.00,0.00
2026-05-09 02:31:01,1.02,0,watch,-,-,0.00,0.00,0.00
2026-05-09 02:31:10,1.00,0,watch,-,-,0.00,0.00,0.00
2026-05-09 02:31:23,1.22,0,watch,-,-,0.00,0.00,0.00
2026-05-09 02:31:42,2.29,0,watch,-,-,0.00,0.00,0.00
2026-05-09 02:31:55,1.26,0,watch,-,-,0.00,0.00,0.00
2026-05-09 02:32:32,10.47,1,watch,-,-,0.00,0.00,0.00
2026-05-09 02:33:19,20.55,1,bet,win,win,7.00,7.00,7.00
2026-05-09 02:44:45,127.18,1,watch,-,-,0.00,0.00,0.00
2026-05-09 02:45:05,2.30,0,bet,loss,loss,-2.00,-2.00,-2.00
2026-05-09 02:45:16,1.04,0,bet,loss,loss,-2.00,-4.00,-4.00
2026-05-09 02:45:34,2.00,0,bet,loss,loss,-2.00,-6.00,-6.00
2026-05-09 02:45:44,1.08,0,bet,loss,loss,-2.00,-8.00,-8.00
2026-05-09 02:46:00,1.62,0,watch,-,-,0.00,0.00,-8.00
2026-05-09 02:52:37,20.27,1,watch,-,-,0.00,0.00,0.00
2026-05-09 02:52:47,1.00,0,bet,loss,loss,-2.00,-2.00,-2.00
2026-05-09 02:53:11,3.19,0,bet,loss,win,1.00,-1.00,-1.00
2026-05-09 02:53:27,1.70,0,watch,-,-,0.00,0.00,-1.00
2026-05-09 02:58:29,2.96,0,watch,-,-,0.00,0.00,0.00
2026-05-09 02:58:45,1.71,0,watch,-,-,0.00,0.00,0.00
2026-05-09 02:59:10,3.70,0,watch,-,-,0.00,0.00,0.00
2026-05-09 02:59:52,13.91,1,watch,-,-,0.00,0.00,0.00
2026-05-09 03:00:09,1.89,0,bet,loss,loss,-2.00,-2.00,-2.00
2026-05-09 03:00:30,2.55,0,bet,loss,loss,-2.00,-4.00,-4.00
2026-05-09 03:00:50,2.26,0,bet,loss,loss,-2.00,-6.00,-6.00
2026-05-09 03:01:02,1.10,0,bet,loss,loss,-2.00,-8.00,-8.00
2026-05-09 03:01:46,17.96,1,watch,-,-,0.00,0.00,-8.00
2026-05-09 03:02:06,2.02,0,bet,loss,loss,-2.00,-2.00,-10.00
2026-05-09 03:02:29,3.25,0,bet,loss,win,1.00,-1.00,-9.00
2026-05-09 03:02:40,1.02,0,watch,-,-,0.00,0.00,-9.00
2026-05-09 03:03:01,2.74,0,watch,-,-,0.00,0.00,-9.00
2026-05-09 03:03:18,1.89,0,watch,-,-,0.00,0.00,-9.00
2026-05-09 03:03:44,3.74,0,watch,-,-,0.00,0.00,-9.00
2026-05-09 03:03:57,1.19,0,watch,-,-,0.00,0.00,-9.00
2026-05-09 03:04:10,1.27,0,watch,-,-,0.00,0.00,-9.00
2026-05-09 03:04:20,1.12,0,watch,-,-,0.00,0.00,-9.00
2026-05-09 03:04:58,10.66,1,watch,-,-,0.00,0.00,-9.00
2026-05-09 03:05:23,3.48,0,bet,loss,win,1.00,1.00,-8.00
2026-05-09 03:05:41,1.95,0,watch,-,-,0.00,0.00,-8.00
2026-05-09 03:06:03,2.85,0,watch,-,-,0.00,0.00,-8.00
2026-05-09 03:06:21,1.81,0,watch,-,-,0.00,0.00,-8.00
2026-05-09 03:06:35,1.37,0,watch,-,-,0.00,0.00,-8.00
2026-05-09 03:06:47,1.22,0,watch,-,-,0.00,0.00,-8.00
2026-05-09 03:07:05,2.08,0,watch,-,-,0.00,0.00,-8.00
2026-05-09 03:07:23,1.82,0,watch,-,-,0.00,0.00,-8.00
2026-05-09 03:07:36,1.40,0,watch,-,-,0.00,0.00,-8.00
2026-05-09 03:07:47,1.04,0,watch,-,-,0.00,0.00,-8.00
2026-05-09 03:08:01,1.47,0,watch,-,-,0.00,0.00,-8.00
2026-05-09 03:08:40,12.11,1,watch,-,-,0.00,0.00,-8.00
2026-05-09 03:08:51,1.00,0,bet,loss,loss,-2.00,-2.00,-10.00
2026-05-09 03:09:08,1.93,0,bet,loss,loss,-2.00,-4.00,-12.00
2026-05-09 03:09:22,1.36,0,bet,loss,loss,-2.00,-6.00,-14.00
2026-05-09 03:10:44,439.90,1,bet,win,win,7.00,1.00,-7.00
2026-05-09 03:11:00,1.50,0,watch,-,-,0.00,0.00,-7.00
2026-05-09 03:11:11,1.19,0,watch,-,-,0.00,0.00,-7.00
2026-05-09 03:11:25,1.37,0,watch,-,-,0.00,0.00,-7.00
2026-05-09 03:11:48,3.19,0,watch,-,-,0.00,0.00,-7.00
2026-05-09 03:11:59,1.07,0,watch,-,-,0.00,0.00,-7.00
2026-05-09 03:12:18,2.19,0,watch,-,-,0.00,0.00,-7.00
2026-05-09 03:12:37,2.18,0,watch,-,-,0.00,0.00,-7.00
2026-05-09 03:13:32,45.10,1,watch,-,-,0.00,0.00,-7.00
2026-05-09 03:13:52,2.03,0,bet,loss,loss,-2.00,-2.00,-9.00
2026-05-09 03:14:13,2.76,0,bet,loss,loss,-2.00,-4.00,-11.00
2026-05-09 03:14:25,1.17,0,bet,loss,loss,-2.00,-6.00,-13.00
2026-05-09 03:14:40,1.58,0,bet,loss,loss,-2.00,-8.00,-15.00
2026-05-09 03:15:13,7.22,0,watch,-,-,0.00,0.00,-15.00
2026-05-09 03:15:28,1.43,0,watch,-,-,0.00,0.00,-15.00
2026-05-09 03:15:45,1.91,0,watch,-,-,0.00,0.00,-15.00
2026-05-09 03:16:10,3.71,0,watch,-,-,0.00,0.00,-15.00
2026-05-09 03:16:22,1.05,0,watch,-,-,0.00,0.00,-15.00
2026-05-09 03:16:33,1.18,0,watch,-,-,0.00,0.00,-15.00
2026-05-09 03:16:44,1.09,0,watch,-,-,0.00,0.00,-15.00
2026-05-09 03:17:06,2.79,0,watch,-,-,0.00,0.00,-15.00
2026-05-09 03:17:30,3.31,0,watch,-,-,0.00,0.00,-15.00
2026-05-09 03:17:51,2.74,0,watch,-,-,0.00,0.00,-15.00
2026-05-09 03:18:04,1.27,0,watch,-,-,0.00,0.00,-15.00
2026-05-09 03:18:25,2.72,0,watch,-,-,0.00,0.00,-15.00
2026-05-09 03:19:03,10.18,1,watch,-,-,0.00,0.00,-15.00
2026-05-09 03:19:20,1.68,0,bet,loss,loss,-2.00,-2.00,-17.00
2026-05-09 03:19:31,1.10,0,bet,loss,loss,-2.00,-4.00,-19.00
2026-05-09 03:19:43,1.25,0,bet,loss,loss,-2.00,-6.00,-21.00
2026-05-09 03:19:58,1.64,0,bet,loss,loss,-2.00,-8.00,-23.00
2026-05-09 03:20:18,2.28,0,watch,-,-,0.00,0.00,-23.00
2026-05-09 03:20:38,2.22,0,watch,-,-,0.00,0.00,-23.00
2026-05-09 03:21:53,237.02,1,watch,-,-,0.00,0.00,-23.00
2026-05-09 03:22:12,2.07,0,bet,loss,loss,-2.00,-2.00,-25.00
2026-05-09 03:22:35,3.25,0,bet,loss,win,1.00,-1.00,-24.00
2026-05-09 03:22:54,1.97,0,watch,-,-,0.00,0.00,-24.00
2026-05-09 03:23:19,3.97,0,watch,-,-,0.00,0.00,-24.00
2026-05-09 03:23:38,1.89,0,watch,-,-,0.00,0.00,-24.00
2026-05-09 03:23:54,1.61,0,watch,-,-,0.00,0.00,-24.00
2026-05-09 03:24:05,1.19,0,watch,-,-,0.00,0.00,-24.00
2026-05-09 03:24:26,2.36,0,watch,-,-,0.00,0.00,-24.00
2026-05-09 03:24:36,1.09,0,watch,-,-,0.00,0.00,-24.00
2026-05-09 03:24:58,2.74,0,watch,-,-,0.00,0.00,-24.00
2026-05-09 03:25:11,1.24,0,watch,-,-,0.00,0.00,-24.00
2026-05-09 03:25:22,1.14,0,watch,-,-,0.00,0.00,-24.00
2026-05-09 03:25:38,1.68,0,watch,-,-,0.00,0.00,-24.00
2026-05-09 03:25:54,1.71,0,watch,-,-,0.00,0.00,-24.00
2026-05-09 03:26:31,10.62,1,watch,-,-,0.00,0.00,-24.00
2026-05-09 03:26:51,2.17,0,bet,loss,loss,-2.00,-2.00,-26.00
2026-05-09 03:27:09,1.98,0,bet,loss,loss,-2.00,-4.00,-28.00
2026-05-09 03:27:37,4.78,0,bet,loss,win,1.00,-3.00,-27.00
2026-05-09 03:27:48,1.07,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 03:28:04,1.70,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 03:28:25,2.58,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 03:28:37,1.15,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 03:28:52,1.64,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 03:29:07,1.54,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 03:29:43,2.61,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 03:30:11,4.85,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 03:30:38,4.18,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 03:30:57,2.10,0,watch,-,-,0.00,0.00,-27.00
2026-05-09 03:31:49,34.36,1,watch,-,-,0.00,0.00,-27.00
2026-05-09 03:32:02,1.24,0,bet,loss,loss,-2.00,-2.00,-29.00
2026-05-09 03:32:54,36.55,1,bet,win,win,7.00,5.00,-22.00
2026-05-09 03:33:55,70.35,1,watch,-,-,0.00,0.00,-22.00
2026-05-09 03:34:07,1.17,0,bet,loss,loss,-2.00,-2.00,-24.00
2026-05-09 03:34:20,1.27,0,bet,loss,loss,-2.00,-4.00,-26.00
2026-05-09 03:34:56,9.69,1,bet,win,win,7.00,3.00,-19.00
2026-05-09 03:35:21,3.52,0,watch,-,-,0.00,0.00,-19.00
2026-05-09 03:35:45,3.38,0,watch,-,-,0.00,0.00,-19.00
2026-05-09 03:36:11,3.73,0,watch,-,-,0.00,0.00,-19.00
2026-05-09 03:36:51,12.32,1,watch,-,-,0.00,0.00,-19.00
2026-05-09 03:37:06,1.51,0,bet,loss,loss,-2.00,-2.00,-21.00
2026-05-09 03:37:20,1.38,0,bet,loss,loss,-2.00,-4.00,-23.00
2026-05-09 03:37:39,2.18,0,bet,loss,loss,-2.00,-6.00,-25.00
2026-05-09 03:38:17,10.33,1,bet,win,win,7.00,1.00,-18.00
2026-05-09 03:38:40,3.06,0,watch,-,-,0.00,0.00,-18.00
2026-05-09 03:38:57,1.67,0,watch,-,-,0.00,0.00,-18.00
2026-05-09 03:39:14,1.86,0,watch,-,-,0.00,0.00,-18.00
2026-05-09 03:39:34,2.22,0,watch,-,-,0.00,0.00,-18.00
2026-05-09 03:39:55,2.54,0,watch,-,-,0.00,0.00,-18.00
2026-05-09 03:40:39,16.57,1,watch,-,-,0.00,0.00,-18.00
2026-05-09 03:40:53,1.44,0,bet,loss,loss,-2.00,-2.00,-20.00
2026-05-09 03:41:05,1.20,0,bet,loss,loss,-2.00,-4.00,-22.00
2026-05-09 03:41:25,2.12,0,bet,loss,loss,-2.00,-6.00,-24.00
2026-05-09 03:41:55,5.49,0,bet,loss,win,1.00,-5.00,-23.00
2026-05-09 03:42:20,3.65,0,watch,-,-,0.00,0.00,-23.00
2026-05-09 03:42:55,7.97,0,watch,-,-,0.00,0.00,-23.00
2026-05-09 03:43:09,1.32,0,watch,-,-,0.00,0.00,-23.00
2026-05-09 03:43:20,1.08,0,watch,-,-,0.00,0.00,-23.00
2026-05-09 03:43:30,1.01,0,watch,-,-,0.00,0.00,-23.00
2026-05-09 03:43:57,4.58,0,watch,-,-,0.00,0.00,-23.00
2026-05-09 03:44:41,17.38,1,watch,-,-,0.00,0.00,-23.00
2026-05-09 03:44:56,1.44,0,bet,loss,loss,-2.00,-2.00,-25.00
2026-05-09 03:45:09,1.36,0,bet,loss,loss,-2.00,-4.00,-27.00
2026-05-09 03:45:33,3.18,0,bet,loss,win,1.00,-3.00,-26.00
2026-05-09 03:45:56,3.05,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:46:07,1.07,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:46:22,1.56,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:46:37,1.46,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:46:52,1.67,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:47:06,1.46,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:47:25,2.14,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:47:59,7.34,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:48:12,1.26,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:48:28,1.66,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:49:02,7.95,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:49:14,1.13,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:49:27,1.36,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:49:45,1.91,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:50:00,1.48,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:50:12,1.25,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:50:29,1.76,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:50:44,1.61,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:50:54,1.00,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:51:10,1.66,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:51:23,1.35,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:51:38,1.50,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:52:01,3.02,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:52:16,1.63,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:52:43,4.06,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:52:57,1.43,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:53:12,1.56,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:53:23,1.14,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:53:46,3.08,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:54:04,2.01,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:54:20,1.68,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:54:42,2.64,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:54:56,1.42,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:55:24,4.67,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:55:36,1.22,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:55:48,1.29,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:56:06,1.87,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:56:41,8.42,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:56:56,1.52,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:57:21,3.68,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:57:32,1.06,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:57:49,1.81,0,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:58:35,22.28,1,watch,-,-,0.00,0.00,-26.00
2026-05-09 03:59:04,5.20,0,bet,loss,win,1.00,1.00,-25.00
2026-05-09 03:59:15,1.04,0,watch,-,-,0.00,0.00,-25.00
2026-05-09 03:59:26,1.21,0,watch,-,-,0.00,0.00,-25.00
2026-05-09 03:59:54,4.48,0,watch,-,-,0.00,0.00,-25.00
2026-05-09 04:00:11,1.95,0,watch,-,-,0.00,0.00,-25.00
2026-05-09 04:00:23,1.23,0,watch,-,-,0.00,0.00,-25.00
2026-05-09 04:00:46,2.81,0,watch,-,-,0.00,0.00,-25.00
2026-05-09 04:01:00,1.41,0,watch,-,-,0.00,0.00,-25.00
2026-05-09 04:01:11,1.19,0,watch,-,-,0.00,0.00,-25.00
2026-05-09 04:01:30,2.04,0,watch,-,-,0.00,0.00,-25.00
2026-05-09 04:01:41,1.14,0,watch,-,-,0.00,0.00,-25.00
2026-05-09 04:02:03,2.95,0,watch,-,-,0.00,0.00,-25.00
2026-05-09 04:02:25,2.71,0,watch,-,-,0.00,0.00,-25.00
2026-05-09 04:03:07,15.42,1,watch,-,-,0.00,0.00,-25.00
2026-05-09 04:03:38,6.01,0,bet,win,win,7.00,7.00,-18.00
2026-05-09 04:04:15,8.97,0,watch,-,-,0.00,0.00,-18.00
2026-05-09 04:04:25,1.02,0,watch,-,-,0.00,0.00,-18.00
2026-05-09 04:04:36,1.13,0,watch,-,-,0.00,0.00,-18.00
2026-05-09 04:04:50,1.51,0,watch,-,-,0.00,0.00,-18.00
2026-05-09 04:05:38,24.94,1,watch,-,-,0.00,0.00,-18.00
2026-05-09 04:06:33,43.08,1,bet,win,win,7.00,7.00,-11.00
2026-05-09 04:06:44,1.04,0,watch,-,-,0.00,0.00,-11.00
2026-05-09 04:07:28,17.03,1,watch,-,-,0.00,0.00,-11.00
2026-05-09 04:08:16,24.27,1,bet,win,win,7.00,7.00,-4.00
2026-05-09 04:08:52,8.96,0,watch,-,-,0.00,0.00,-4.00
2026-05-09 04:09:07,1.52,0,watch,-,-,0.00,0.00,-4.00
2026-05-09 04:09:20,1.29,0,watch,-,-,0.00,0.00,-4.00
2026-05-09 04:09:45,3.47,0,watch,-,-,0.00,0.00,-4.00
2026-05-09 04:10:02,1.87,0,watch,-,-,0.00,0.00,-4.00
2026-05-09 04:10:14,1.14,0,watch,-,-,0.00,0.00,-4.00
2026-05-09 04:10:41,4.22,0,watch,-,-,0.00,0.00,-4.00
2026-05-09 04:10:51,1.06,0,watch,-,-,0.00,0.00,-4.00
2026-05-09 04:11:17,3.84,0,watch,-,-,0.00,0.00,-4.00
2026-05-09 04:11:35,2.05,0,watch,-,-,0.00,0.00,-4.00
2026-05-09 04:11:51,1.56,0,watch,-,-,0.00,0.00,-4.00
2026-05-09 04:12:59,38.16,1,watch,-,-,0.00,0.00,-4.00
2026-05-09 04:13:18,2.08,0,bet,loss,loss,-2.00,-2.00,-6.00
2026-05-09 04:13:35,1.83,0,bet,loss,loss,-2.00,-4.00,-8.00
2026-05-09 04:14:07,6.01,0,bet,win,win,7.00,3.00,-1.00
2026-05-09 04:14:20,1.38,0,watch,-,-,0.00,0.00,-1.00
2026-05-09 04:14:34,1.42,0,watch,-,-,0.00,0.00,-1.00
2026-05-09 04:14:56,2.67,0,watch,-,-,0.00,0.00,-1.00
2026-05-09 04:15:25,4.96,0,watch,-,-,0.00,0.00,-1.00
2026-05-09 04:15:47,2.80,0,watch,-,-,0.00,0.00,-1.00
2026-05-09 04:16:16,4.59,0,watch,-,-,0.00,0.00,-1.00
2026-05-09 04:17:08,34.43,1,watch,-,-,0.00,0.00,-1.00
2026-05-09 04:17:30,2.77,0,bet,loss,loss,-2.00,-2.00,-3.00
2026-05-09 04:17:43,1.22,0,bet,loss,loss,-2.00,-4.00,-5.00
2026-05-09 04:18:08,3.73,0,bet,loss,win,1.00,-3.00,-4.00
2026-05-09 04:18:25,1.85,0,watch,-,-,0.00,0.00,-4.00
2026-05-09 04:18:44,2.27,0,watch,-,-,0.00,0.00,-4.00
2026-05-09 04:18:54,1.00,0,watch,-,-,0.00,0.00,-4.00
